id,url,cover_url,pdf_url,cover_path,pdf_path,title,tags,author,year,publisher,city,printing_house,pages,language,description
1,https://tula-online.org/items/show/1,https://diasporiana.org.ua/wp-content/uploads/books/11415/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/11415/file.djvu,cover/1.jpg,pdf/1.djvu,The Ukrainian Poets. 1189-1962 · TULA,Ukrainica,c.h. / watson andrusyshen / kirkconnel (selected and translated into english verse),1963,ukrainian canadian committee university of toronto press,Toronto,na,500,Англійська,na
10,https://tula-online.org/items/show/10,https://diasporiana.org.ua/wp-content/uploads/books/13564/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/13564/file.pdf,cover/10.jpg,pdf/10.pdf,The harvest of sorrow. Soviet collectivization and terror-famine · TULA,Ukrainica,robert conquest,1986,the university of alberta press canadian institute of ukrainian studies,Edmonton,na,411,Англійська,na
100,https://tula-online.org/items/show/100,https://diasporiana.org.ua/wp-content/uploads/books/10602/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/10602/file.pdf,cover/100.jpg,pdf/100.pdf,Чи проіснує радянський союз до 1984 року ? [Бібліотека Смолоскипа ч. 9] · TULA,Ideology,амальрик андрій,1974,видавництво смолоскип,Paris,p.i.u.f. paris,94,Українська,na
1000,https://tula-online.org/items/show/1000,https://diasporiana.org.ua/wp-content/uploads/books/5123/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/5123/file.pdf,cover/1000.jpg,pdf/1000.pdf,Подорожній : Леґенди · TULA,Prose,королева наталена,1953,видавництво добра книжка,Toronto,basilian press. toronro ont.,64,Українська,na
1001,https://tula-online.org/items/show/1001,https://diasporiana.org.ua/wp-content/uploads/books/1639/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/1639/file.pdf,cover/1001.jpg,pdf/1001.pdf,Твори. Другий том. Без коріння : Життєпис сучасниці / 3-тє доповнене видання · TULA,Prose,королева наталена,1968,українське лікарське товариство північної америки відділ торонто,Toronto,друкарня оо. василіян торонто,217,Українська,na
1002,https://tula-online.org/items/show/1002,https://diasporiana.org.ua/wp-content/uploads/books/1538/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/1538/file.pdf,cover/1002.jpg,pdf/1002.pdf,Твори. Перший том. Предок : З анналів і леґенд / 3-тє доповнене видання [Бібліотека історичних повістей Ч. 15-16] · TULA,Prose,королева наталена,1961,видавництво добра книжка,Toronto,друкарня оо. василіян торонто,292,Українська,na
1003,https://tula-online.org/items/show/1003,https://diasporiana.org.ua/wp-content/uploads/books/14098/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/14098/file.pdf,cover/1003.jpg,pdf/1003.pdf,Згадки Про Мою Смерть [ Книгозбірня Пробоєм Число 23.] · TULA,Prose,королів-старий василь,1942,українське видавництво пробоєм,Prague,друкарня кnihtisk praha,123,Українська,na
1004,https://tula-online.org/items/show/1004,https://diasporiana.org.ua/wp-content/uploads/books/12123/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/12123/file.pdf,cover/1004.jpg,pdf/1004.pdf,Чмелик (Навколо світа.) : Роман для юнацтва з ілюстраціями / видання перше · TULA,Children s literature,королів-старий василь,1920,видавництво день,Kyiv,друкарня політики,419,Українська,na
1005,https://tula-online.org/items/show/1005,https://diasporiana.org.ua/wp-content/uploads/books/389/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/389/file.djvu,cover/1005.jpg,pdf/1005.djvu,Як Павло Скоропадський став Гетьманом України (уривки зі спогадів) [Відбиток з Нашої Батьківщини ] · TULA,Memoirs,король нестор,1967,накладом автора,New York,nb 133 e. new york n. y.,23,Українська,na
1006,https://tula-online.org/items/show/1006,https://diasporiana.org.ua/wp-content/uploads/books/2146/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/2146/file.pdf,cover/1006.jpg,pdf/1006.pdf,Духові впливи Києва на Московщину в добу Гетьманської України [Наукове Товариство імени Шевченка. Бібліотека Українознавства Т. XIV] · TULA,Religion,франко богдан корчмарик,1964,наукове товариство імени шевченка,New York,na,147,Українська,na
1007,https://tula-online.org/items/show/1007,https://diasporiana.org.ua/wp-content/uploads/books/66/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/66/file.djvu,cover/1007.jpg,pdf/1007.djvu,Концепція М. Грушевського і наші сучасні підручники історії України · TULA,History,корчмарик богдан,1994,українська вільна академія наук,Winnipeg,trident press limited winnipeg canada,38,Українська,na
1008,https://tula-online.org/items/show/1008,https://diasporiana.org.ua/wp-content/uploads/books/314/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/314/file.djvu,cover/1008.jpg,pdf/1008.djvu,Християнізація европейського Сходу і месіяністичні аспірації Москви [Наукове Товариство ім. Шевченка. Ч. 10] · TULA,Religion,корчмарик богдан,1973,наукове товариство ім. шевченка дослідний інститут студіюм,Toronto,друкарня в-ва гомін україни торонто онт. канада,78,Українська,na
1009,https://tula-online.org/items/show/1009,https://diasporiana.org.ua/wp-content/uploads/books/886/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/886/file.djvu,cover/1009.jpg,pdf/1009.djvu,Московський сфінкс. Міт і сила в образі Східньої Европи : Проспект · TULA,Ideology,косаренко-косаревич василь,-1,N/A,N/A,N/A,31,Українська,na
101,https://tula-online.org/items/show/101,https://diasporiana.org.ua/wp-content/uploads/books/526/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/526/file.djvu,cover/101.jpg,pdf/101.djvu,Герострати : Роман · TULA,Prose,андієвська емма,1971,видавництво сучасність,na,logos gmbh münchen,500,Українська,na
1010,https://tula-online.org/items/show/1010,https://diasporiana.org.ua/wp-content/uploads/books/899/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/899/file.pdf,cover/1010.jpg,pdf/1010.pdf,Московський Сфінкс. Міт і сила в образі сходу Європи / повне видання · TULA,Ideology,косаренко-косаревич василь,1957,накладом автора,New York,r. krupka & a. bilan new york n. y.,489,Українська,na
1011,https://tula-online.org/items/show/1011,https://diasporiana.org.ua/wp-content/uploads/books/16220/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/16220/file.pdf,cover/1011.jpg,pdf/1011.pdf,День гніву : Повість про 1648 рік. ІІ частина · TULA,Prose,косач юрій,1948,видавництво українське слово,Regensburg,mittelbayerische zeitungn regensburg,253,Українська,na
1012,https://tula-online.org/items/show/1012,https://diasporiana.org.ua/wp-content/uploads/books/16786/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/16786/file.pdf,cover/1012.jpg,pdf/1012.pdf,Золоті ворота : Поезії · TULA,Poetry,косач юрій,1966,видавництво нові обрії,New York,na,49,Українська,na
1013,https://tula-online.org/items/show/1013,https://diasporiana.org.ua/wp-content/uploads/books/1279/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/1279/file.djvu,cover/1013.jpg,pdf/1013.djvu,Леся Українка. Хронологія життя і творчости · TULA,Literary Studies,косач-кривинюк ольга,1970,українська вільна академія наук,New York,видавнича с-ка гомін україни торонто онт.,923,Українська,na
1014,https://tula-online.org/items/show/1014,https://diasporiana.org.ua/wp-content/uploads/books/6595/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/6595/file.djvu,cover/1014.jpg,pdf/1014.djvu,Україна під час Другої Світової Війни 1938 - 1945 / з французької переклав Роман Осадчук · TULA,History,косик володимир,1992,рада оборони і допомоги україні українського конґресового комітету америки фундація пометей ім стефанії швед і степана онищука дослідний інститут україніка в торонті,Kyiv,computoprint corporation clifton n. j.,729,Українська,na
1015,https://tula-online.org/items/show/1015,https://diasporiana.org.ua/wp-content/uploads/books/10508/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/10508/file.pdf,cover/1015.jpg,pdf/1015.pdf,В житах : Оповідання · TULA,Prose,косинка григорій,1946,N/A,Augsburg,na,64,Українська,na
1016,https://tula-online.org/items/show/1016,https://diasporiana.org.ua/wp-content/uploads/books/2160/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/2160/file.djvu,cover/1016.jpg,pdf/1016.djvu,Фавст із Поділля [Український народний університет] · TULA,Prose,косинка григорій,1955,організація оборони чотирьох свобід україни,New York,dnipro new york,96,Українська,na
1017,https://tula-online.org/items/show/1017,https://diasporiana.org.ua/wp-content/uploads/books/15798/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/15798/file.pdf,cover/1017.jpg,pdf/1017.pdf,Мій Виндсорський літопис : Спогади й записки · TULA,Memoirs,косіковський олекса,1974,коштом автора,na,universal slavic printers hamtramck michigan,113,Українська,na
1018,https://tula-online.org/items/show/1018,https://diasporiana.org.ua/wp-content/uploads/books/17777/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/17777/file.pdf,cover/1018.jpg,pdf/1018.pdf,Село Маркіяна - мої Нестаничі : Записки-спогади з одного життя [Бібліотека ШАШКЕВИЧІЯНИ Ч. 5 / за ред.: М. Г. Марунчак] · TULA,Ukrainica,косіковський олекса,1972,бібліотека шашкевичіяни ч. 5,Winnipeg,друкарня нового шляху вінніпеґ ман.,130,Українська,na
1019,https://tula-online.org/items/show/1019,https://diasporiana.org.ua/wp-content/uploads/books/12214/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/12214/file.pdf,cover/1019.jpg,pdf/1019.pdf,Горстка променів : Вибрані поезії 1939 - 1961 · TULA,Poetry,косовичева марія,1962,видавництво новий шлях,Winnipeg,друкарня в-ва новий шлях вінніпеґ,47,Українська,na
102,https://tula-online.org/items/show/102,https://diasporiana.org.ua/wp-content/uploads/books/1048/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/1048/file.pdf,cover/102.jpg,pdf/102.pdf,Наука про Землю · TULA,Poetry,андієвська емма,1975,видавництво сучасність,Munich,na,126,Українська,na
1020,https://tula-online.org/items/show/1020,https://diasporiana.org.ua/wp-content/uploads/books/1580/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/1580/file.pdf,cover/1020.jpg,pdf/1020.pdf,Двісті перший · TULA,Prose,коссовська алла,1972,видавництво свобода,Jersey City,svoboda jersey city n. j.,43,Українська,na
1021,https://tula-online.org/items/show/1021,https://diasporiana.org.ua/wp-content/uploads/books/9737/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/9737/file.pdf,cover/1021.jpg,pdf/1021.pdf,Ціна душі · TULA,Prose,коссовська алла,1977,карби,na,computoprint corporation clifton n. j.,285,Українська,na
1022,https://tula-online.org/items/show/1022,https://diasporiana.org.ua/wp-content/uploads/books/5090/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/5090/file.pdf,cover/1022.jpg,pdf/1022.pdf,Поезії [Бібліотека СМОЛОСКИПА ч. 4] · TULA,Poetry,костенко ліна,1969,видавництво смолоскип,Toronto,p.i.u.f. paris france.,357,Українська,na
1023,https://tula-online.org/items/show/1023,https://diasporiana.org.ua/wp-content/uploads/books/10593/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/10593/file.pdf,cover/1023.jpg,pdf/1023.pdf,Конституційні акти відновленої Української держави 1917-1919 років і їхня політично-державна якість · TULA,Politology,костів к.,1964,друком української друкарні,Toronto,українська друкарня toronto ont.,186,Українська,na
1024,https://tula-online.org/items/show/1024,https://diasporiana.org.ua/wp-content/uploads/books/10229/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/10229/file.pdf,cover/1024.jpg,pdf/1024.pdf,Травневий вінок : Збірка віршів і оповідань з нагоди Дня Матері · TULA,Miscellaneous,костів олена,1963,накладом упорядниці,Toronto,the christian mission press toronto ont. canada,196,Українська,na
1025,https://tula-online.org/items/show/1025,https://diasporiana.org.ua/wp-content/uploads/books/2115/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/2115/file.pdf,cover/1025.jpg,pdf/1025.pdf,Книги битія Українського народу [Український музей-архів при Українській Вільній Академії Наук. Серія: Пам ятки і Матеріяли. Ч.І] · TULA,Ideology,костомаров микола,1947,український музей-архів при українській вільній академії наук,Augsburg,anton bilous aichach,60,Українська,na
1026,https://tula-online.org/items/show/1026,https://diasporiana.org.ua/wp-content/uploads/books/15600/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/15600/file.pdf,cover/1026.jpg,pdf/1026.pdf,Вибрані твори. Другий том. Нарис історії України · TULA,History,коструба теофіл,1961,видавництво добра книжка,Toronto,basilian press toronto ontario canada,304,Українська,na
1027,https://tula-online.org/items/show/1027,https://diasporiana.org.ua/wp-content/uploads/books/2018/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/2018/file.pdf,cover/1027.jpg,pdf/1027.pdf,Вибрані твори. Перший том. Нариси з церковної історії України Х-ХІІІ століття / друге доповнене видання · TULA,Religion,коструба теофіл,1955,видавництво добра книжка,Toronto,basilian press toronto ontario canada,142,Українська,na
1028,https://tula-online.org/items/show/1028,https://diasporiana.org.ua/wp-content/uploads/books/1473/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/1473/file.pdf,cover/1028.jpg,pdf/1028.pdf,Вибрані твори. Четвертий том. Як Москва нищила Українську Церкву / друге видання · TULA,Religion,коструба теофіл,1961,видавництво добра книжка,Toronto,basilian press toronto ontario canada,96,Українська,na
1029,https://tula-online.org/items/show/1029,https://diasporiana.org.ua/wp-content/uploads/books/1689/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/1689/file.djvu,cover/1029.jpg,pdf/1029.djvu,Володимир Винниченко та його доба : Дослідження критика полеміка · TULA,Literary Studies,костюк григорій,1980,українська вільна академія наук,New York,computoprint corporation clifton n. j.,283,Українська,na
103,https://tula-online.org/items/show/103,https://diasporiana.org.ua/wp-content/uploads/books/567/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/567/file.djvu,cover/103.jpg,pdf/103.djvu,Пісні без тексту · TULA,Poetry,андієвська емма,1968,видавництво “лоґос”,Munich,logos gmbh münchen,65,Українська,na
1030,https://tula-online.org/items/show/1030,https://diasporiana.org.ua/wp-content/uploads/books/16962/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/16962/file.pdf,cover/1030.jpg,pdf/1030.pdf,З літопису літературного життя в діяспорі [Відбитка з журналу Сучасність чч. 9-10 (129-130)] · TULA,Literary Studies,костюк григорій,1971,видавництво сучасність,Munich,logos g.m.b.h. münchen,48,Українська,na
1031,https://tula-online.org/items/show/1031,https://diasporiana.org.ua/wp-content/uploads/books/237/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/237/file.djvu,cover/1031.jpg,pdf/1031.djvu,Теорія і дійсність. До проблеми вивчення теорії тактики і стратегії більшовизму в національному питанні : Історико-критичний нарис [Суспільно-політична Бібліотека Ч. 9 (28)] · TULA,Ideology,костюк григорій,1971,видавництво сучасність,Munich,logos g.m.b.h. münchen,145,Українська,na
1032,https://tula-online.org/items/show/1032,https://diasporiana.org.ua/wp-content/uploads/books/9935/image.jpg,https://diasporiana.org.ua/wp-content/uploads/books/9935/file.djvu,cover/1032.jpg,pdf/1032.djvu,Слово : Збірник 2. Література мистецтво критика мемуари документи · TULA,Miscellaneous,костюк григорій,1964,об єднання українських письменників слово,New York,а орел,400,Українська,na
